price_discovery,best_ask_price_difference
0.13337171348624233,0.16547
0.27975842154306524,0.01765
-0.44542025245557726,-0.12007
1.4002045222233697,-1.284515
0.170200054876938,1.818825
0.0907647385706134,0.867475
0.48644499881177644,-0.756075
-0.026370168681848105,-0.264105
-1.0605863008924652,1.352395
0.588090988404215,-0.612185
0.3231586935579455,0.146355
0.4441615129262264,0.76022
-0.2959725021458208,-0.65278
2.036092643150146,0.69779
-0.2037146644164715,0.480865
0.8078562425919917,-1.17796
-0.391491041756975,0.85893
0.5028274521458711,-0.33459
1.3530558112334665,-2.23323
-1.4025634429539362,1.16931
0.3753324155055944,-0.68197
0.4149841882713638,-0.58182
-0.38727458995136443,0.03674
1.8922431099723083,0.44425
-0.42389812588487,0.621535
-0.20683556179407686,0.60549
-0.5742723299154426,0.671325
0.8639763431481399,-1.17196
0.9609801999722499,-1.316205
0.1340184852334615,1.00068
0.17572620105603762,0.24843
1.4497856224667962,-1.287685
1.288519175222252,-1.33775
-0.10991279391125913,0.439535
-0.636326365883306,0.129875
0.6088922071139823,-1.03007
0.610856039179811,0.00429
-0.48923123499228705,-0.106465
0.44985907073212944,-0.336245
-0.4271531687923083,-0.05487
0.24265571897088734,-0.825355
0.9621710704641504,-1.865535
0.180412115030551,1.01019
1.7142992719111398,-2.10374
0.48185831888092656,-0.188845
0.28917732505369353,0.86655
0.5124449172129679,-1.892535
-0.3756116068855418,-0.00276
-1.4769351459658553,1.245
0.99833100224535,-1.0202
0.6658566310044647,-1.5184
-0.4707560469637984,-0.185005
-0.3582887518740461,0.14392
0.7927921611755606,0.41631
0.4456405824582489,-0.673685
0.7482184100909265,0.376525
-0.6395363836182583,0.74452
0.20339511800150367,1.606075
0.08018572566641052,0.427955
-1.8240555820690671,0.0854
0.3484640804270902,-0.55793
0.6535515910953937,-0.454305
1.2431682009066338,0.00661
-0.8390966234362994,1.38413
-0.4722936539442746,-0.12405
0.36596049438146094,-1.265195
0.9323699841309178,0.379775
-0.11618611989092476,-0.342275
-0.6864612888347592,0.81244
-1.1544181514174832,1.034825
-1.958298242364104,1.47036
0.7823596685142199,-0.64083
0.22960176032071622,1.05838
1.353443565165887,-1.298245
-0.09396382094418387,0.992755
-0.41182333289192363,-0.219315
-0.5919793968028246,1.37786
0.38926823740888694,-0.99052
-0.7566652022141345,2.39674
0.43830669284450186,-0.625465
-0.6197562388100577,0.71778
0.49816897846156505,-0.49775
-0.34418955314744915,0.56808
1.0931558051515589,-2.27648
0.4058605528416251,-0.65387
-1.4727399491950304,1.24918
-1.3674226203566078,0.559515
0.4705652619847405,-0.65251
-0.08666291779624102,0.397985
0.9705787742359516,0.230565
3.2271612913987564,0.304645
0.5436272626381491,-0.52095
0.08892499523248465,-0.921
-0.15196688327095687,-0.01756
-0.14121621829493808,0.254105
0.620980304683237,0.35534
1.2293503218931494,-0.38623
-0.4484877294031695,-0.007605
-0.19856171648507237,0.500295
0.28699834359514265,-0.371425
