price_discovery,best_ask_price_difference
1.092498729692807,1.618235
1.5362680532939414,1.2978
2.051540413104127,0.52955
0.9682464620998241,-0.319175
2.2887302759917847,1.192855
1.1670235062231704,1.651455
0.9677191530147735,1.77621
2.2406492157832907,-0.4232
1.4577881463466706,0.51942
2.155630575425092,1.863625
0.6238545367203016,0.95767
1.767790269066239,1.927965
0.6081923732465608,1.961555
1.9032112273948,2.00194
0.8954981060428688,2.296195
1.0992250260002876,2.066385
1.2305982306874972,1.460665
0.6212195360194313,0.535
1.2528305753671574,1.156035
0.9707526733418823,2.28619
1.0081365395776567,1.469285
1.6371938422053858,0.46713
0.9175426763356833,1.608135
1.4910242292598779,0.987025
1.474223840889735,-0.14217
0.4526847067017379,1.21625
1.52787834924533,-0.68898
1.7394471262387297,-0.916305
1.4283473428614923,-0.63887
1.3842186747517675,-0.12738
